0 66.64 11.31 19.077 1362 1
1 32.85 9.38 6.905 1943 0
0 31.74 19.745 12.53 1952 0
0 39.87 11.723 19.648 1956 0
0 27.81 1.715 9.956 1945 1
0 59.15 2.174 16.77 1775 0
0 75.62 12.538 13.167 1803 1
0 30.77 5.828 6.246 1074 0
1 59.85 18.831 11.561 1620 0
1 74.13 6.95 13.469 1247 1
0 33.63 10.181 7.758 1182 1
0 57.53 5.781 4.336 1527 1
0 56.16 2.356 12.034 1294 0
1 54.64 11.712 11.313 1160 1
0 17.95 2.075 1.779 1601 0
0 75.88 1.585 14.561 1465 1
1 46.61 7.593 13.527 1576 1
1 56.09 14.155 2.024 1371 1
0 65.61 2.879 1.182 1572 1
0 20.63 10.32 19.773 1178 0
0 39.38 16.643 13.31 1955 0
0 58.45 8.114 5.298 1072 0
0 59.47 12.999 17.04 1255 0
0 19.37 1.44 7.919 1125 1
1 78.74 1.013 15.768 1358 1
1 21.6 5.551 2.975 1497 1
0 67.37 6.688 5.552 1899 0
0 16.63 11.318 9.748 1772 0
1 12.19 5.476 16.657 1478 1
1 21.6 8.88 1.704 1757 0
0 63.27 16.059 15.491 1652 1
1 74.28 1.24 19.891 1347 0
1 28.66 1.827 14.846 1284 0
0 19.97 6.236 7.108 1694 0
0 62.72 7.824 12.653 1304 1
0 31.01 14.902 7.971 1907 0
1 79.97 4.162 19.412 1192 0
1 47.09 13.128 2.023 1493 0
1 13.53 18.729 19.956 1851 0
1 22.12 2.269 17.409 1701 0
1 43.51 18.231 18.592 1647 1
0 57.83 18.914 19.87 1367 1
0 71.89 13.182 15.433 1683 0
1 21.3 16.597 16.397 1037 0
1 65.74 11.73 0.471 1177 1
1 48.84 2.969 2.951 1920 0
1 56.33 4.48 5.272 1766 1
0 73.7 16.887 11.664 1964 1
0 71.41 19.396 15.576 1194 0
1 61.28 4.959 16.125 1744 0
